# OBS_DATE
2006-04-09T04:58:42.323
# TELESCOPE
ESO-VLT-U2
# INSTRUMENT
UVES
# TARGET
2MASS J13004255+1912354
# EXPOSURE TIME (SEC)
3899.9993
# PROGRAMME ID
077.C-0449(A)
# RIGHT ASCENSION
13:00:42.2
# DECLINATION
19:12:26.8
# DETECTOR GAIN
0.63
# WAVELENGTH UNIT
Angstrom
# FLUX UNIT
ADU
# COMMENT
Adapted from the FITS (Flexible Image Transport System) format is defined in 'Astronomy
and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H
# DATA
WAVELENGTH,FLUX
6661.8907,32.9693
6661.9298,35.5171
6661.9689,41.1165
6662.0080,43.9094
6662.0471,44.4360
6662.0862,38.1973
6662.1253,33.1193
6662.1644,35.8065
6662.2035,50.1695
6662.2426,49.2728
6662.2817,45.0884
6662.3208,35.1063
6662.3599,29.9142
6662.3989,37.1140
6662.4380,24.0296
6662.4771,37.4170
6662.5162,39.2692
6662.5553,39.8474
6662.5944,32.3954
6662.6335,33.8304
6662.6726,34.1563
6662.7117,44.0886
6662.7508,42.0605
6662.7899,38.9793
6662.8290,50.3899
6662.8681,47.8536
6662.9072,31.7644
6662.9463,31.9952
6662.9854,42.0305
6663.0245,48.3276
6663.0636,45.3331
6663.1026,46.3592
6663.1417,44.2391
6663.1808,42.0780
6663.2199,42.4821
6663.2590,46.9382
6663.2981,35.8697
6663.3372,35.4789
6663.3763,39.0702
6663.4154,47.8488
6663.4545,48.0999
6663.4936,46.5931
6663.5327,35.4770
6663.5718,46.8511
6663.6109,44.4928
6663.6500,40.5353
6663.6891,54.9849
6663.7282,47.0798
6663.7673,32.3037
6663.8064,34.2961
6663.8454,39.7559
6663.8845,40.0108
6663.9236,29.2498
6663.9627,33.7943
6664.0018,48.4515
6664.0409,33.1435
6664.0800,32.9688
6664.1191,36.7928
6664.1582,48.3953
6664.1973,32.7282
6664.2364,51.2224
6664.2755,53.9721
6664.3146,30.4717
6664.3537,38.6595
6664.3928,39.2149
6664.4319,41.8217
6664.4710,43.2201
6664.5101,31.1321
6664.5492,31.5895
6664.5882,25.1611
6664.6273,31.4688
6664.6664,37.0693
6664.7055,37.1170
6664.7446,37.5191
6664.7837,38.5996
6664.8228,38.0787
6664.8619,39.8174
6664.9010,37.5159
6664.9401,36.2875
6664.9792,35.7554
6665.0183,31.1086
6665.0574,41.6142
6665.0965,48.0325
6665.1356,54.0056
6665.1747,51.8863
6665.2138,29.7617
6665.2529,39.7533
6665.2920,40.7264
6665.3310,46.5064
6665.3701,40.5451
6665.4092,33.8431
6665.4483,37.0210
6665.4874,43.5478
6665.5265,53.9208
6665.5656,45.0131
6665.6047,37.4907
6665.6438,35.8021
6665.6829,43.2538
6665.7220,52.6374
6665.7611,38.5752
6665.8002,30.5493
6665.8393,40.1676
6665.8784,47.9327
6665.9175,49.2450
6665.9566,46.4326
6665.9957,31.2092
6666.0348,9.7528
6666.0738,39.5807
6666.1129,45.8884
6666.1520,41.3218
6666.1911,41.1917
6666.2302,31.5437
6666.2693,37.2640
6666.3084,39.0768
6666.3475,36.1902
6666.3866,38.3255
6666.4257,33.8944
6666.4648,39.5580
6666.5039,42.1481
6666.5430,29.4090
6666.5821,37.0283
6666.6212,39.8129
6666.6603,37.8195
6666.6994,36.3695
6666.7385,40.5232
6666.7776,39.7631
6666.8166,38.8706
6666.8557,43.9262
6666.8948,36.8236
6666.9339,36.4350
6666.9730,39.8992
6667.0121,44.4642
6667.0512,56.5281
6667.0903,33.4245
6667.1294,34.3540
6667.1685,41.5255
6667.2076,36.2218
6667.2467,35.2524
6667.2858,37.4557
6667.3249,37.1414
6667.3640,53.0768
6667.4031,46.9857
6667.4422,35.9602
6667.4813,36.7734
6667.5203,47.4212
6667.5594,46.1888
6667.5985,40.2644
6667.6376,44.7580
6667.6767,49.5276
6667.7158,41.3685
6667.7549,37.0612
6667.7940,47.0217
6667.8331,46.4700
6667.8722,34.7683
6667.9113,41.4819
6667.9504,43.2606
6667.9895,41.7781
6668.0286,40.1771
6668.0677,39.5073
6668.1068,40.6547
6668.1459,45.0844
6668.1850,42.3289
6668.2241,34.1095
6668.2631,30.4065
6668.3022,27.2600
6668.3413,43.7724
6668.3804,42.4168
6668.4195,50.8089
6668.4586,42.5637
6668.4977,30.5601
6668.5368,39.5628
6668.5759,47.7987
6668.6150,40.1975
6668.6541,46.8818
6668.6932,53.0359
6668.7323,34.8354
6668.7714,37.5234
6668.8105,53.7380
6668.8496,50.8949
6668.8887,39.5318
6668.9278,40.5332
6668.9669,42.0689
6669.0059,45.8968
6669.0450,46.7529
6669.0841,46.4495
6669.1232,60.5675
6669.1623,46.5405
6669.2014,49.3195
6669.2405,37.0094
6669.2796,48.8750
6669.3187,38.4731
6669.3578,38.9773
6669.3969,43.4311
